"","year","dataset","link"
"49",2011,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_insgesamt.csv"
"50",2011,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_alter.csv"
"51",2011,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_familienstand.csv"
"52",2011,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_geschlecht.csv"
"53",2011,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_staatsangehoerigkeit.csv"
"54",2011,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_bewegung_natuerlich.csv"
"55",2011,"bewegung_raeumlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_bewegung_raeumlich.csv"
"56",2011,"bewegung_gesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_bewegung_gesamt.csv"
"57",2011,"haushaltsstruktur","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2011/bevoelkerungsstruktur_2011_haushaltsstruktur.csv"
"58",2012,"insgesamt","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_insgesamt.csv"
"59",2012,"alter","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_alter.csv"
"60",2012,"familienstand","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_familienstand.csv"
"61",2012,"geschlecht","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_geschlecht.csv"
"62",2012,"staatsangehoerigkeit","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_staatsangehoerigkeit.csv"
"63",2012,"bewegung_natuerlich","https://geo.sv.rostock.de/download/opendata/bevoelkerungsstruktur_2012/bevoelkerungsstruktur_2012_bewegung_natuerlich.csv"
